Planted Area (Acres),Market Price (KES/Kg),Revenue (KES),Cost of Production (KES),Profit (KES),ROI %,ROI % (clamped),"Crop Type_Beans, dry",Crop Type_Cassava,"Crop Type_Cassava, fresh",Crop Type_Coffee,Crop Type_Error,Crop Type_Maize,Crop Type_Maize (corn),Crop Type_Potatoes,Crop Type_Rice,Crop Type_Sorghum,Crop Type_Tea,Crop Type_Tomatoes,Crop Type_Wheat,County_Error,County_Kenya,County_Kericho,County_Kiambu,County_Kisumu,County_Machakos,County_Meru,County_Mombasa,County_Nairobi,County_Nakuru,County_Nan,County_Nyeri,Season_Long Rains,Season_Nan,Season_Short Rains,Season_Unknown,Soil Type_Error,Soil Type_Loam,Soil Type_Peaty,Soil Type_Sandy,Soil Type_Silty,Soil Type_Unknown,Irrigation Method_Error,Irrigation Method_Flood,Irrigation Method_Sprinkler,Irrigation Method_Unknown,Fertilizer Used_DAP,Fertilizer Used_Error,Fertilizer Used_Manure,Fertilizer Used_UREA,Fertilizer Used_Unknown,Pest Control_Error,Pest Control_Organic,Pest Control_Unknown,Weather Impact_Mild,Weather Impact_Severe,Weather Impact_Unknown
10.254999999999999,93.79,359853.47200000007,8889.32,350964.15200000006,3948.155224471614,500.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
3.52,18.57,86179.06,5480.61,80698.45,1472.435550057384,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9.97,68.79,3162960.42,90955.26,3072005.16,3377.490383733717,500.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
10.254999999999999,108.44,1601095.4300000002,50468.53,1567756.3900000001,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
4.06,23.88,38610.48,50468.53,1567756.3900000001,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
10.254999999999999,108.44,1601095.4300000002,50468.53,1567756.3900000001,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
10.254999999999999,192.12,1601095.4300000002,2210.22,1567756.3900000001,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
7.82,101.79,1777773.53,89787.75,1687985.78,1879.973359394795,500.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
6.13,38.3,1103660.86,71165.24,1032495.62,1450.8426023716072,500.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
5.7,98.85,1129555.09,50468.53,1567756.3900000001,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
